,argus,model,year
0,8769,Q90 INTENS CHARGE RAPIDE,2012
1,8431,Q90 INTENS CHARGE RAPIDE TYPE 2,2012
2,7963,Q90 LIFE CHARGE RAPIDE,2012
3,8590,Q90 LIFE CHARGE RAPIDE TYPE 2,2012
4,8323,Q90 ZEN CHARGE RAPIDE,2012
5,8065,Q90 ZEN CHARGE RAPIDE TYPE 2,2012
6,8853,Q90 INTENS CHARGE RAPIDE,2013
7,9393,Q90 INTENS CHARGE RAPIDE TYPE 2,2013
8,8403,Q90 LIFE CHARGE RAPIDE,2013
9,9394,Q90 LIFE CHARGE RAPIDE TYPE 2,2013
10,9260,Q90 ZEN CHARGE RAPIDE,2013
11,8988,Q90 ZEN CHARGE RAPIDE TYPE 2,2013
12,10314,Q90 INTENS CHARGE RAPIDE,2014
13,10281,Q90 INTENS CHARGE RAPIDE TYPE 2,2014
14,10493,Q90 LIFE CHARGE RAPIDE,2014
15,9931,Q90 LIFE CHARGE RAPIDE TYPE 2,2014
16,10320,Q90 ZEN CHARGE RAPIDE,2014
17,9646,Q90 ZEN CHARGE RAPIDE TYPE 2,2014
18,11753,Q90 INTENS,2015
19,10787,Q90 INTENS CHARGE RAPIDE,2015
20,11545,Q90 INTENS CHARGE RAPIDE TYPE 2,2015
21,9905,Q90 LIFE,2015
22,10430,Q90 LIFE CHARGE RAPIDE,2015
23,10770,Q90 LIFE CHARGE RAPIDE TYPE 2,2015
24,11734,Q90 ZEN,2015
25,12377,Q90 ZEN CHARGE RAPIDE,2015
26,11753,Q90 ZEN CHARGE RAPIDE TYPE 2,2015
27,11063,R90 INTENS TYPE 2,2015
28,10008,R90 LIFE TYPE 2,2015
29,10764,R90 ZEN TYPE 2,2015
30,14251,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2016
31,13069,(2) Q90 LIFE CHARGE RAPIDE GAMME 2017,2016
32,12839,(2) Q90 ZEN CHARGE RAPIDE GAMME 2017,2016
33,15093,Q90 EDITION ONE CHARGE RAPIDE GAMME 2017,2016
34,13647,Q90 INTENS CHARGE RAPIDE TYPE 2,2016
35,12101,Q90 LIFE CHARGE RAPIDE TYPE 2,2016
36,13297,Q90 ZEN CHARGE RAPIDE TYPE 2,2016
37,13378,R75 LIFE GAMME 2017,2016
38,12923,R90 EDITION ONE GAMME 2017,2016
39,13957,R90 INTENS GAMME 2017,2016
40,12540,R90 INTENS TYPE 2,2016
41,12309,R90 LIFE TYPE 2,2016
42,11999,R90 ZEN GAMME 2017,2016
43,12751,R90 ZEN TYPE 2,2016
44,16996,(2) Q90 EDITION ONE CHARGE RAPIDE,2017
45,14438,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2017
46,12954,(2) Q90 LIFE CHARGE RAPIDE GAMME 2017,2017
47,13285,(2) Q90 ZEN CHARGE RAPIDE GAMME 2017,2017
48,12978,(2) R75 LIFE,2017
49,15811,(2) R90 EDITION ONE,2017
50,14338,(2) R90 INTENS,2017
51,15487,(2) R90 ZEN,2017
52,15698,Q90 EDITION ONE CHARGE RAPIDE GAMME 2017,2017
53,12978,R75 LIFE GAMME 2017,2017
54,14807,R90 EDITION ONE GAMME 2017,2017
55,15662,R90 INTENS GAMME 2017,2017
56,13247,R90 ZEN GAMME 2017,2017
57,21062,(2) Q90 EDITION ONE (CH RAPIDE),2018
58,17258,(2) Q90 EDITION ONE CHARGE RAPIDE,2018
59,21062,(2) Q90 EDITION ONE CHARGE RAPIDE ACHAT INTEGRAL,2018
60,21109,(2) Q90 INTENS (CH RAPIDE) ACHAT INTEGRAL,2018
61,16980,(2) Q90 INTENS CHARGE RAPIDE 2019,2018
62,17780,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2018
63,20092,(2) Q90 LIFE (CH RAPIDE) ACHAT INTEGRAL,2018
64,15786,(2) Q90 LIFE CHARGE RAPIDE 2019,2018
65,15786,(2) Q90 LIFE CHARGE RAPIDE GAMME 2017,2018
66,15786,(2) Q90 LIFE CHARGE RAPIDE GAMME 2018,2018
67,20955,(2) Q90 STAR WARS (CH RAPIDE),2018
68,17072,(2) Q90 STAR WARS CHARGE RAPIDE,2018
69,20153,(2) Q90 ZEN (CH RAPIDE) ACHAT INTEGRAL,2018
70,15084,(2) Q90 ZEN CHARGE RAPIDE 2018,2018
71,16377,(2) Q90 ZEN CHARGE RAPIDE 2019,2018
72,15084,(2) Q90 ZEN CHARGE RAPIDE GAMME 2017,2018
73,18676,(2) R110 EDITION ONE,2018
74,22416,(2) R110 EDITION ONE ACHAT INTEGRAL,2018
75,15994,(2) R110 INTENS,2018
76,19299,(2) R110 INTENS ACHAT INTEGRAL,2018
77,16288,(2) R75 LIFE,2018
78,19178,(2) R75 LIFE ACHAT INTEGRAL,2018
79,15983,(2) R90 CITY,2018
80,18371,(2) R90 CITY ACHAT INTEGRAL,2018
81,16261,(2) R90 EDITION ONE,2018
82,22234,(2) R90 EDITION ONE ACHAT INTEGRAL,2018
83,17258,(2) R90 EDITION ONE CHARGE RAPIDE,2018
84,14837,(2) R90 INTENS,2018
85,19469,(2) R90 INTENS ACHAT INTEGRAL,2018
86,15394,(2) R90 LIFE,2018
87,17900,(2) R90 LIFE ACHAT INTEGRAL,2018
88,17977,(2) R90 STAR WARS,2018
89,21411,(2) R90 STAR WARS ACHAT INTEGRAL,2018
90,17094,(2) R90 ZEN,2018
91,18394,(2) R90 ZEN ACHAT INTEGRAL,2018
92,15786,Q90 LIFE CHARGE RAPIDE GAMME 2018,2018
93,17072,Q90 STAR WARS,2018
